Edge Sequence,Genus,1st order gonality,Divisor
2(*),1,gonality: 2,"[2, 0]",gonality: 3,"[3, 0]",gonality: 4,"[4, 0]",gonality: 2,"[1, 1]"
"2,4,5,5",12,gonality: 5,"[4, 0, 1, 0, 0]",gonality: 7,"[4, 0, 1, 1, 1]",gonality: 10,"[6, 0, 2, 1, 1]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,4,5,6",13,gonality: 5,"[2, 0, 1, 1, 1]",gonality: 7,"[4, 0, 1, 1, 1]",gonality: 10,"[4, 0, 2, 2, 2]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,4,6,2",10,gonality: 5,"[2, 0, 1, 2, 0]",gonality: 8,"[4, 0, 2, 2, 0]",gonality: 9,"[4, 0, 2, 3, 0]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,4,6,3",11,gonality: 5,"[2, 0, 1, 1, 1]",gonality: 8,"[4, 0, 2, 1, 1]",gonality: 10,"[4, 0, 2, 4, 0]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,4,6,4",12,gonality: 5,"[2, 0, 1, 1, 1]",gonality: 8,"[4, 0, 2, 1, 1]",gonality: 10,"[4, 0, 2, 2, 2]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,4,6,5",13,gonality: 5,"[2, 0, 1, 1, 1]",gonality: 8,"[4, 0, 2, 1, 1]",gonality: 10,"[4, 0, 2, 2, 2]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,4,6,6",14,gonality: 5,"[2, 0, 1, 1, 1]",gonality: 8,"[4, 0, 2, 1, 1]",gonality: 10,"[4, 0, 2, 2, 2]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,5,2,3",8,gonality: 5,"[4, 1, 0, 0, 0]",gonality: 7,"[7, 0, 0, 0, 0]",gonality: 9,"[8, 0, 1, 0, 0]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,5,2,4",9,gonality: 5,"[4, 1, 0, 0, 0]",gonality: 8,"[7, 0, 1, 0, 0]",gonality: 10,"[8, 0, 2, 0, 0]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,5,2,5",10,gonality: 5,"[2, 0, 2, 0, 1]",gonality: 8,"[4, 1, 2, 0, 1]",gonality: 10,"[7, 0, 2, 0, 1]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,5,2,6",11,gonality: 5,"[2, 0, 2, 0, 1]",gonality: 8,"[4, 1, 2, 0, 1]",gonality: 10,"[4, 1, 3, 0, 2]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,5,3,3",9,gonality: 5,"[4, 1, 0, 0, 0]",gonality: 8,"[7, 0, 1, 0, 0]",gonality: 10,"[8, 0, 2, 0, 0]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,5,3,4",10,gonality: 5,"[2, 0, 1, 1, 1]",gonality: 8,"[4, 1, 1, 1, 1]",gonality: 10,"[7, 0, 1, 1, 1]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,5,3,5",11,gonality: 5,"[2, 0, 1, 1, 1]",gonality: 8,"[4, 1, 1, 1, 1]",gonality: 11,"[8, 0, 2, 0, 1]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,5,3,6",12,gonality: 5,"[2, 0, 1, 1, 1]",gonality: 8,"[4, 1, 1, 1, 1]",gonality: 11,"[8, 0, 1, 0, 2]",gonality: 5,"[1, 1, 1, 1, 1]",
