Edge Sequence,Genus,1st order gonality
"2,4,10,7",19,gonality: 5
"2,4,10,8",20,gonality: 5
"2,4,10,9",21,gonality: 5
"2,4,10,10",22,gonality: 5
"2,4,10,11",23,gonality: 5
"2,4,11,2",15,gonality: 5
"2,4,11,3",16,gonality: 5
"2,4,11,4",17,gonality: 5
"2,4,11,5",18,gonality: 5
"2,4,11,6",19,gonality: 5
"2,4,11,7",20,gonality: 5
"2,4,11,8",21,gonality: 5
"2,4,11,9",22,gonality: 5
"2,4,11,10",23,gonality: 5
"2,4,11,11",24,gonality: 5
"2,5,2,3",8,gonality: 5
"2,5,2,4",9,gonality: 5
"2,5,2,5",10,gonality: 5
"2,5,2,6",11,gonality: 5
"2,5,2,7",12,gonality: 5
"2,5,2,8",13,gonality: 5
"2,5,2,9",14,gonality: 5
"2,5,2,10",15,gonality: 5
"2,5,2,11",16,gonality: 5
"2,5,3,3",9,gonality: 5
"2,5,3,4",10,gonality: 5
"2,5,3,5",11,gonality: 5
"2,5,3,6",12,gonality: 5
"2,5,3,7",13,gonality: 5
"2,5,3,8",14,gonality: 5
"2,5,3,9",15,gonality: 5
"2,5,3,10",16,gonality: 5
"2,5,3,11",17,gonality: 5
"2,5,4,3",10,gonality: 5
"2,5,4,4",11,gonality: 5
"2,5,4,5",12,gonality: 5
"2,5,4,6",13,gonality: 5
"2,5,4,7",14,gonality: 5
"2,5,4,8",15,gonality: 5
"2,5,4,9",16,gonality: 5
"2,5,4,10",17,gonality: 5
"2,5,4,11",18,gonality: 5
"2,5,5,2",10,gonality: 5
"2,5,5,3",11,gonality: 5
"2,5,5,4",12,gonality: 5
"2,5,5,5",13,gonality: 5
"2,5,5,6",14,gonality: 5
"2,5,5,7",15,gonality: 5
"2,5,5,8",16,gonality: 5
"2,5,5,9",17,gonality: 5
"2,5,5,10",18,gonality: 5
"2,5,5,11",19,gonality: 5
"2,5,6,2",11,gonality: 5
"2,5,6,3",12,gonality: 5
"2,5,6,4",13,gonality: 5
"2,5,6,5",14,gonality: 5
"2,5,6,6",15,gonality: 5
"2,5,6,7",16,gonality: 5
"2,5,6,8",17,gonality: 5
"2,5,6,9",18,gonality: 5
"2,5,6,10",19,gonality: 5
"2,5,6,11",20,gonality: 5
"2,5,7,2",12,gonality: 5
"2,5,7,3",13,gonality: 5
"2,5,7,4",14,gonality: 5
"2,5,7,5",15,gonality: 5
"2,5,7,6",16,gonality: 5
"2,5,7,7",17,gonality: 5
"2,5,7,8",18,gonality: 5
"2,5,7,9",19,gonality: 5
"2,5,7,10",20,gonality: 5
"2,5,7,11",21,gonality: 5
"2,5,8,2",13,gonality: 5
"2,5,8,3",14,gonality: 5
"2,5,8,4",15,gonality: 5
"2,5,8,5",16,gonality: 5
"2,5,8,6",17,gonality: 5
"2,5,8,7",18,gonality: 5
"2,5,8,8",19,gonality: 5
"2,5,8,9",20,gonality: 5
"2,5,8,10",21,gonality: 5
"2,5,8,11",22,gonality: 5
"2,5,9,2",14,gonality: 5
"2,5,9,3",15,gonality: 5
"2,5,9,4",16,gonality: 5
"2,5,9,5",17,gonality: 5
"2,5,9,6",18,gonality: 5
"2,5,9,7",19,gonality: 5
"2,5,9,8",20,gonality: 5
"2,5,9,9",21,gonality: 5
"2,5,9,10",22,gonality: 5
"2,5,9,11",23,gonality: 5
"2,5,10,2",15,gonality: 5
"2,5,10,3",16,gonality: 5
"2,5,10,4",17,gonality: 5
"2,5,10,5",18,gonality: 5
"2,5,10,6",19,gonality: 5
"2,5,10,7",20,gonality: 5
"2,5,10,8",21,gonality: 5
"2,5,10,9",22,gonality: 5
"2,5,10,10",23,gonality: 5
"2,5,10,11",24,gonality: 5
"2,5,11,2",16,gonality: 5
"2,5,11,3",17,gonality: 5
"2,5,11,4",18,gonality: 5
"2,5,11,5",19,gonality: 5
"2,5,11,6",20,gonality: 5
"2,5,11,7",21,gonality: 5
"2,5,11,8",22,gonality: 5
"2,5,11,9",23,gonality: 5
"2,5,11,10",24,gonality: 5
"2,5,11,11",25,gonality: 5
"2,6,2,3",9,gonality: 5
"2,6,2,4",10,gonality: 5
"2,6,2,5",11,gonality: 5
"2,6,2,6",12,gonality: 5
"2,6,2,7",13,gonality: 5
"2,6,2,8",14,gonality: 5
"2,6,2,9",15,gonality: 5
"2,6,2,10",16,gonality: 5
"2,6,2,11",17,gonality: 5
"2,6,3,3",10,gonality: 5
"2,6,3,4",11,gonality: 5
"2,6,3,5",12,gonality: 5
"2,6,3,6",13,gonality: 5
"2,6,3,7",14,gonality: 5
"2,6,3,8",15,gonality: 5
"2,6,3,9",16,gonality: 5
"2,6,3,10",17,gonality: 5
"2,6,3,11",18,gonality: 5
"2,6,4,3",11,gonality: 5
"2,6,4,4",12,gonality: 5
"2,6,4,5",13,gonality: 5
"2,6,4,6",14,gonality: 5
"2,6,4,7",15,gonality: 5
"2,6,4,8",16,gonality: 5
"2,6,4,9",17,gonality: 5
"2,6,4,10",18,gonality: 5
"2,6,4,11",19,gonality: 5
"2,6,5,3",12,gonality: 5
"2,6,5,4",13,gonality: 5
"2,6,5,5",14,gonality: 5
"2,6,5,6",15,gonality: 5
"2,6,5,7",16,gonality: 5
"2,6,5,8",17,gonality: 5
"2,6,5,9",18,gonality: 5
"2,6,5,10",19,gonality: 5
"2,6,5,11",20,gonality: 5
"2,6,6,2",12,gonality: 5
"2,6,6,3",13,gonality: 5
"2,6,6,4",14,gonality: 5
"2,6,6,5",15,gonality: 5
"2,6,6,6",16,gonality: 5
"2,6,6,7",17,gonality: 5
"2,6,6,8",18,gonality: 5
"2,6,6,9",19,gonality: 5
"2,6,6,10",20,gonality: 5
"2,6,6,11",21,gonality: 5
"2,6,7,2",13,gonality: 5
"2,6,7,3",14,gonality: 5
"2,6,7,4",15,gonality: 5
"2,6,7,5",16,gonality: 5
"2,6,7,6",17,gonality: 5
"2,6,7,7",18,gonality: 5
"2,6,7,8",19,gonality: 5
"2,6,7,9",20,gonality: 5
"2,6,7,10",21,gonality: 5
"2,6,7,11",22,gonality: 5
"2,6,8,2",14,gonality: 5
"2,6,8,3",15,gonality: 5
"2,6,8,4",16,gonality: 5
"2,6,8,5",17,gonality: 5
"2,6,8,6",18,gonality: 5
"2,6,8,7",19,gonality: 5
"2,6,8,8",20,gonality: 5
"2,6,8,9",21,gonality: 5
"2,6,8,10",22,gonality: 5
"2,6,8,11",23,gonality: 5
"2,6,9,2",15,gonality: 5
"2,6,9,3",16,gonality: 5
"2,6,9,4",17,gonality: 5
"2,6,9,5",18,gonality: 5
"2,6,9,6",19,gonality: 5
"2,6,9,7",20,gonality: 5
"2,6,9,8",21,gonality: 5
"2,6,9,9",22,gonality: 5
"2,6,9,10",23,gonality: 5
"2,6,9,11",24,gonality: 5
"2,6,10,2",16,gonality: 5
"2,6,10,3",17,gonality: 5
"2,6,10,4",18,gonality: 5
"2,6,10,5",19,gonality: 5
"2,6,10,6",20,gonality: 5
"2,6,10,7",21,gonality: 5
"2,6,10,8",22,gonality: 5
"2,6,10,9",23,gonality: 5
"2,6,10,10",24,gonality: 5
"2,6,10,11",25,gonality: 5
"2,6,11,2",17,gonality: 5
"2,6,11,3",18,gonality: 5
"2,6,11,4",19,gonality: 5
"2,6,11,5",20,gonality: 5
"2,6,11,6",21,gonality: 5
"2,6,11,7",22,gonality: 5
"2,6,11,8",23,gonality: 5
"2,6,11,9",24,gonality: 5
"2,6,11,10",25,gonality: 5
"2,6,11,11",26,gonality: 5
"2,7,2,3",10,gonality: 5
"2,7,2,4",11,gonality: 5
"2,7,2,5",12,gonality: 5
"2,7,2,6",13,gonality: 5
"2,7,2,7",14,gonality: 5
"2,7,2,8",15,gonality: 5
"2,7,2,9",16,gonality: 5
"2,7,2,10",17,gonality: 5
